OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
BOEING.KC135.C135FR.TRTN1;0;-1;1;A/I;0;-60;74,01;0;-1000;1;TEMP;-1;ZP;-1;;-1
;;;;;;-24,98;79,48;0;-1000;1;;;;;;
;;;;;;-0,03239;83,63;0;-1000;1;;;;;;
;;;;;;18,78;86,56;0;-1000;1;;;;;;
;;;;;;36,1;89,06;1;-1000;1;;;;;;
;;;;;;43,09;87,85;0;-1000;1;;;;;;
;;;;;;50,16;86,81;0;-1000;1;;;;;;
;;;;;;56;86,05;0;-1000;1;;;;;;
;;;;;;60;85,63;0;-1000;1;;;;;;
;;;;;;-60;76,41;0;0;1;;;;;;
;;;;;;-32,4;80,56;0;0;1;;;;;;
;;;;;;-19,71;82,63;0;0;1;;;;;;
;;;;;;0,6034;86,13;0;0;1;;;;;;
;;;;;;14,57;88,45;0;0;1;;;;;;
;;;;;;24,34;89,92;0;0;1;;;;;;
;;;;;;32,18;90,96;1;0;1;;;;;;
;;;;;;36,24;89,98;0;0;1;;;;;;
;;;;;;42,24;88,62;0;0;1;;;;;;
;;;;;;46,73;87,79;0;0;1;;;;;;
;;;;;;51,44;86,99;0;0;1;;;;;;
;;;;;;56,08;86,36;0;0;1;;;;;;
;;;;;;58,14;86,12;0;0;1;;;;;;
;;;;;;60;85,95;0;0;1;;;;;;
;;;;;;-60;77,36;0;2000;1;;;;;;
;;;;;;-50,07;78,9;0;2000;1;;;;;;
;;;;;;-36,1;81,01;0;2000;1;;;;;;
;;;;;;-20,07;83,65;0;2000;1;;;;;;
;;;;;;-9,734;85,47;0;2000;1;;;;;;
;;;;;;5,233;88,15;0;2000;1;;;;;;
;;;;;;16,21;89,86;0;2000;1;;;;;;
;;;;;;28,68;91,62;1;2000;1;;;;;;
;;;;;;32,18;90,96;0;2000;1;;;;;;
;;;;;;36,24;89,98;0;2000;1;;;;;;
;;;;;;42,24;88,62;0;2000;1;;;;;;
;;;;;;46,73;87,79;0;2000;1;;;;;;
;;;;;;51,44;86,99;0;2000;1;;;;;;
;;;;;;56,08;86,36;0;2000;1;;;;;;
;;;;;;58,14;86,12;0;2000;1;;;;;;
;;;;;;60;85,95;0;2000;1;;;;;;
;;;;;;-60;78,27;0;4000;1;;;;;;
;;;;;;-44,59;80,74;0;4000;1;;;;;;
;;;;;;-30,05;83,1;0;4000;1;;;;;;
;;;;;;-14,94;85,67;0;4000;1;;;;;;
;;;;;;0,3127;88,42;0;4000;1;;;;;;
;;;;;;10,36;90,06;0;4000;1;;;;;;
;;;;;;19,06;91,35;0;4000;1;;;;;;
;;;;;;25,26;92,21;1;4000;1;;;;;;
;;;;;;28,68;91,62;0;4000;1;;;;;;
;;;;;;32,18;90,96;0;4000;1;;;;;;
;;;;;;36,24;89,98;0;4000;1;;;;;;
;;;;;;42,24;88,62;0;4000;1;;;;;;
;;;;;;46,73;87,79;0;4000;1;;;;;;
;;;;;;51,44;86,99;0;4000;1;;;;;;
;;;;;;56,08;86,36;0;4000;1;;;;;;
;;;;;;58,14;86,12;0;4000;1;;;;;;
;;;;;;60;85,95;0;4000;1;;;;;;
;;;;;;-60;79,3;0;6000;1;;;;;;
;;;;;;-44,88;81,76;0;6000;1;;;;;;
;;;;;;-30,05;84,15;0;6000;1;;;;;;
;;;;;;-16,94;86,37;0;6000;1;;;;;;
;;;;;;-2,897;89,04;0;6000;1;;;;;;
;;;;;;7,295;90,79;0;6000;1;;;;;;
;;;;;;20,55;92,87;1;6000;1;;;;;;
;;;;;;25,26;92,21;0;6000;1;;;;;;
;;;;;;28,68;91,62;0;6000;1;;;;;;
;;;;;;32,18;90,96;0;6000;1;;;;;;
;;;;;;36,24;89,98;0;6000;1;;;;;;
;;;;;;42,24;88,62;0;6000;1;;;;;;
;;;;;;46,73;87,79;0;6000;1;;;;;;
;;;;;;51,44;86,99;0;6000;1;;;;;;
;;;;;;56,08;86,36;0;6000;1;;;;;;
;;;;;;58,14;86,12;0;6000;1;;;;;;
;;;;;;60;85,95;0;6000;1;;;;;;
;;;;;;-60;80,11;0;8000;1;;;;;;
;;;;;;-44,52;82,68;0;8000;1;;;;;;
;;;;;;-29,48;85,21;0;8000;1;;;;;;
;;;;;;-14,52;87,78;0;8000;1;;;;;;
;;;;;;-2,971;89,92;0;8000;1;;;;;;
;;;;;;6,152;91,53;0;8000;1;;;;;;
;;;;;;16,49;93,21;1;8000;1;;;;;;
;;;;;;20,55;92,87;0;8000;1;;;;;;
;;;;;;25,26;92,21;0;8000;1;;;;;;
;;;;;;28,68;91,62;0;8000;1;;;;;;
;;;;;;32,18;90,96;0;8000;1;;;;;;
;;;;;;36,24;89,98;0;8000;1;;;;;;
;;;;;;42,24;88,62;0;8000;1;;;;;;
;;;;;;46,73;87,79;0;8000;1;;;;;;
;;;;;;51,44;86,99;0;8000;1;;;;;;
;;;;;;56,08;86,36;0;8000;1;;;;;;
;;;;;;58,14;86,12;0;8000;1;;;;;;
;;;;;;60;85,95;0;8000;1;;;;;;
;;;;;;-60;81,02;0;10000;1;;;;;;
;;;;;;-52,22;82,24;0;10000;1;;;;;;
;;;;;;-43,81;83,63;0;10000;1;;;;;;
;;;;;;-34,83;85,13;0;10000;1;;;;;;
;;;;;;-25,92;86,7;0;10000;1;;;;;;
;;;;;;-13,88;88,88;0;10000;1;;;;;;
;;;;;;-4,042;90,73;0;10000;1;;;;;;
;;;;;;4,867;92,26;0;10000;1;;;;;;
;;;;;;12,35;93,51;1;10000;1;;;;;;
;;;;;;16,49;93,21;0;10000;1;;;;;;
;;;;;;20,55;92,87;0;10000;1;;;;;;
;;;;;;25,26;92,21;0;10000;1;;;;;;
;;;;;;28,68;91,62;0;10000;1;;;;;;
;;;;;;32,18;90,96;0;10000;1;;;;;;
;;;;;;36,24;89,98;0;10000;1;;;;;;
;;;;;;42,24;88,62;0;10000;1;;;;;;
;;;;;;46,73;87,79;0;10000;1;;;;;;
;;;;;;51,44;86,99;0;10000;1;;;;;;
;;;;;;56,08;86,36;0;10000;1;;;;;;
;;;;;;58,14;86,12;0;10000;1;;;;;;
;;;;;;60;85,95;0;10000;1;;;;;;
;;;;;;-60;81,9;0;12000;1;;;;;;
;;;;;;-45,31;84,19;0;12000;1;;;;;;
;;;;;;-33,41;86,22;0;12000;1;;;;;;
;;;;;;-22,15;88,19;0;12000;1;;;;;;
;;;;;;-11,88;90,01;0;12000;1;;;;;;
;;;;;;-1,193;92;0;12000;1;;;;;;
;;;;;;8,642;93,86;1;12000;1;;;;;;
;;;;;;12,35;93,51;0;12000;1;;;;;;
;;;;;;16,49;93,21;0;12000;1;;;;;;
;;;;;;20,55;92,87;0;12000;1;;;;;;
;;;;;;25,26;92,21;0;12000;1;;;;;;
;;;;;;28,68;91,62;0;12000;1;;;;;;
;;;;;;32,18;90,96;0;12000;1;;;;;;
;;;;;;36,24;89,98;0;12000;1;;;;;;
;;;;;;42,24;88,62;0;12000;1;;;;;;
;;;;;;46,73;87,79;0;12000;1;;;;;;
;;;;;;51,44;86,99;0;12000;1;;;;;;
;;;;;;56,08;86,36;0;12000;1;;;;;;
;;;;;;58,14;86,12;0;12000;1;;;;;;
;;;;;;60;85,95;0;12000;1;;;;;;
;;;;;;-60;82,57;0;14000;1;;;;;;
;;;;;;-48,8;84,36;0;14000;1;;;;;;
;;;;;;-33,62;86,96;0;14000;1;;;;;;
;;;;;;-21,86;89,07;0;14000;1;;;;;;
;;;;;;-13,17;90,78;0;14000;1;;;;;;
;;;;;;-2,763;92,74;0;14000;1;;;;;;
;;;;;;4,934;94,1;1;14000;1;;;;;;
;;;;;;8,642;93,86;0;14000;1;;;;;;
;;;;;;12,35;93,51;0;14000;1;;;;;;
;;;;;;16,49;93,21;0;14000;1;;;;;;
;;;;;;20,55;92,87;0;14000;1;;;;;;
;;;;;;25,26;92,21;0;14000;1;;;;;;
;;;;;;28,68;91,62;0;14000;1;;;;;;
;;;;;;32,18;90,96;0;14000;1;;;;;;
;;;;;;36,24;89,98;0;14000;1;;;;;;
;;;;;;42,24;88,62;0;14000;1;;;;;;
;;;;;;46,73;87,79;0;14000;1;;;;;;
;;;;;;51,44;86,99;0;14000;1;;;;;;
;;;;;;56,08;86,36;0;14000;1;;;;;;
;;;;;;58,14;86,12;0;14000;1;;;;;;
;;;;;;60;85,95;0;14000;1;;;;;;
;;;;;;-60;83,2;0;15000;1;;;;;;
;;;;;;-51,66;84,6;0;15000;1;;;;;;
;;;;;;-39,33;86,67;0;15000;1;;;;;;
;;;;;;-28,56;88,49;0;15000;1;;;;;;
;;;;;;-18,94;90,17;0;15000;1;;;;;;
;;;;;;-9,535;91,98;0;15000;1;;;;;;
;;;;;;-2,123;93,45;0;15000;1;;;;;;
