OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DA.FALCON.7X.7X.V1.DRY.3;1;-1;1;SF;2;-40;7,47;0;0;0;TEMP;-1;ALT;-1;A/I;-1
;;;;;;-29,89;7,43;0;0;0;;;;;;
;;;;;;-17,9;7,37;0;0;0;;;;;;
;;;;;;-5,005;7,32;0;0;0;;;;;;
;;;;;;6,893;7,27;0;0;0;;;;;;
;;;;;;14,25;7,25;0;0;0;;;;;;
;;;;;;28,42;7,21;1;0;0;;;;;;
;;;;;;36,05;7,44;0;0;0;;;;;;
;;;;;;44,22;7,68;0;0;0;;;;;;
;;;;;;55,22;8,03;0;0;0;;;;;;
;;;;;;-40;7,47;0;2000;0;;;;;;
;;;;;;-29,89;7,43;0;2000;0;;;;;;
;;;;;;-17,9;7,37;0;2000;0;;;;;;
;;;;;;-5,005;7,32;0;2000;0;;;;;;
;;;;;;6,893;7,27;0;2000;0;;;;;;
;;;;;;14,25;7,25;0;2000;0;;;;;;
;;;;;;23,6;7,22;1;2000;0;;;;;;
;;;;;;33,14;7,54;0;2000;0;;;;;;
;;;;;;42,14;7,83;0;2000;0;;;;;;
;;;;;;55,13;8,25;0;2000;0;;;;;;
;;;;;;-40;7,24;0;4000;0;;;;;;
;;;;;;-30,8;7,2;0;4000;0;;;;;;
;;;;;;-16,9;7,15;0;4000;0;;;;;;
;;;;;;-1,827;7,09;0;4000;0;;;;;;
;;;;;;10,62;7,05;1;4000;0;;;;;;
;;;;;;20,88;7,35;0;4000;0;;;;;;
;;;;;;29,15;7,62;0;4000;0;;;;;;
;;;;;;39,59;7,98;0;4000;0;;;;;;
;;;;;;52,22;8,39;0;4000;0;;;;;;
;;;;;;-40;7,24;0;6000;0;;;;;;
;;;;;;-30,8;7,2;0;6000;0;;;;;;
;;;;;;-16,9;7,15;0;6000;0;;;;;;
;;;;;;-1,827;7,09;0;6000;0;;;;;;
;;;;;;4,077;7,07;1;6000;0;;;;;;
;;;;;;15,07;7,39;0;6000;0;;;;;;
;;;;;;24,51;7,7;0;6000;0;;;;;;
;;;;;;33,33;8,01;0;6000;0;;;;;;
;;;;;;46,13;8,44;0;6000;0;;;;;;
;;;;;;-40;7,07;0;8000;0;;;;;;
;;;;;;-29,35;7,02;0;8000;0;;;;;;
;;;;;;-19,99;6,98;0;8000;0;;;;;;
;;;;;;-8,64;6,95;1;8000;0;;;;;;
;;;;;;-0,01027;7,17;0;8000;0;;;;;;
;;;;;;9,073;7,43;0;8000;0;;;;;;
;;;;;;20,06;7,79;0;8000;0;;;;;;
;;;;;;29,6;8,14;0;8000;0;;;;;;
;;;;;;41,14;8,58;0;8000;0;;;;;;
;;;;;;-40;6,9;0;10000;0;;;;;;
;;;;;;-33,62;6,86;0;10000;0;;;;;;
;;;;;;-26,62;6,85;0;10000;0;;;;;;
;;;;;;-19,09;6,85;1;10000;0;;;;;;
;;;;;;-7,912;7,17;0;10000;0;;;;;;
;;;;;;3,079;7,48;0;10000;0;;;;;;
;;;;;;14,62;7,87;0;10000;0;;;;;;
;;;;;;25,97;8,27;0;10000;0;;;;;;
