OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DA.FALCON.7X.7X.V1.DRY;0;-1;1;SF;2;0;74,994;0;75;1;WIND;-1;DA.FALCON.7X.7X.V1.DRY.1;-1;;-1
;;;;;;50;81,485;0;75;1;;;;;;
;;;;;;-10;76,083;0;80;1;;;;;;
;;;;;;0;80;1;80;1;;;;;;
;;;;;;50;85,389;0;80;1;;;;;;
;;;;;;-10;82,257;0;85;1;;;;;;
;;;;;;0;85;1;85;1;;;;;;
;;;;;;50;89,293;0;85;1;;;;;;
;;;;;;-10;88,34;0;90;1;;;;;;
;;;;;;0;90;1;90;1;;;;;;
;;;;;;50;93,197;0;90;1;;;;;;
;;;;;;-10;94,332;0;95;1;;;;;;
;;;;;;0;95;1;95;1;;;;;;
;;;;;;50;97,101;0;95;1;;;;;;
;;;;;;-10;100,19;0;100;1;;;;;;
;;;;;;0;100;1;100;1;;;;;;
;;;;;;50;101,05;0;100;1;;;;;;
;;;;;;-10;105,91;0;105;1;;;;;;
;;;;;;0;105;1;105;1;;;;;;
;;;;;;50;105,09;0;105;1;;;;;;
;;;;;;-10;111,45;0;110;1;;;;;;
;;;;;;0;110;1;110;1;;;;;;
;;;;;;50;109,31;0;110;1;;;;;;
;;;;;;-10;116,85;0;115;1;;;;;;
;;;;;;0;115;1;115;1;;;;;;
;;;;;;50;113,85;0;115;1;;;;;;
;;;;;;-10;122,2;0;120;1;;;;;;
;;;;;;0;120;1;120;1;;;;;;
;;;;;;50;118,66;0;120;1;;;;;;
;;;;;;-10;127,56;0;125;1;;;;;;
;;;;;;0;125;1;125;1;;;;;;
;;;;;;50;123,61;0;125;1;;;;;;
;;;;;;-10;132,96;0;130;1;;;;;;
;;;;;;0;130;1;130;1;;;;;;
;;;;;;50;128,61;0;130;1;;;;;;
;;;;;;-10;138,37;0;135;1;;;;;;
;;;;;;0;135;1;135;1;;;;;;
;;;;;;50;133,69;0;135;1;;;;;;
;;;;;;-10;143,86;0;140;1;;;;;;
;;;;;;0;140;1;140;1;;;;;;
;;;;;;50;138,96;0;140;1;;;;;;
END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE
