OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DIAMOND.DA42.GROUNDROLL;0;-1;1;WEIGHT;1300;-10;335,4;0;238,9;1;WIND;-1;DIAMOND.DA42.GROUNDROLL.1;-1;;-1
;;;;;;0;238,9;0;238,9;1;;;;;;
;;;;;;20;183;0;238,9;1;;;;;;
;;;;;;-10;398,7;0;294,8;1;;;;;;
;;;;;;0;294,8;0;294,8;1;;;;;;
;;;;;;20;232,7;0;294,8;1;;;;;;
;;;;;;-10;433,7;0;321,2;1;;;;;;
;;;;;;0;321,2;0;321,2;1;;;;;;
;;;;;;20;257,3;0;321,2;1;;;;;;
;;;;;;-10;503,8;0;364,9;1;;;;;;
;;;;;;0;364,9;0;364,9;1;;;;;;
;;;;;;10;320,6;0;364,9;1;;;;;;
;;;;;;20;281,9;0;364,9;1;;;;;;
;;;;;;-10;578,8;0;428,2;1;;;;;;
;;;;;;0;428,2;0;428,2;1;;;;;;
;;;;;;10;380,9;0;428,2;1;;;;;;
;;;;;;20;337,2;0;428,2;1;;;;;;
;;;;;;-10;629,1;0;468,7;1;;;;;;
;;;;;;0;468,7;0;468,7;1;;;;;;
;;;;;;20;371;0;468,7;1;;;;;;
;;;;;;-10;706;0;529,6;1;;;;;;
;;;;;;0;529,6;0;529,6;1;;;;;;
;;;;;;20;425,7;0;529,6;1;;;;;;
END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE
