# Fichier CSV contenant les définitions des unités utilisées par AirCalc2017 et les facteurs de conversions vers l'unité de référence de même dimension;;;;;
#;;;;;
# Forme utilisée: RefUnit = Factor x Unit + Constant;;;;;
#;;;;;
UnitDimension;IsRef;UnitName;UnitAlias;Factor;Constant
TABLE_1;;;;;
NUMBER;1;NUMBER;;1;0
NUMBER;0;PERCENT;%;100;0
TEMPERATURE;1;DEG_KELVIN;K;1;0
TEMPERATURE;0;DEG_CELSIUS;C;1;273,15
TEMPERATURE;0;DEG_FARENHEIT;F;0,55555556;17,77777778
SPEED;0;KNOT;KT;0,51444444;0
SPEED;0;KILOMETER_PER_HOUR;KMH;0,27777778;0
SPEED;1;METER_PER_SECOND;MPS;1;0
SPEED;0;MILE_PER_HOUR;MPH;0,44704;0
LENGHT;1;METER;M;1;0
LENGHT;0;FOOT;FT;0,3048;0
LENGHT;0;KILOMETER;KM;1000;0
LENGHT;0;INCH;IN;0,0254;0
LENGHT;0;NAUTICAL_MILE;NM;0,00053996;0
LENGHT;0;STATUTE_MILE;SM;0,00062137;0
MASS;0;POUND;LBS;0,45359237;0
MASS;0;KPOUND;KLBS;0,00045359;0
MASS;1;KILOGRAM;KG;1;0
VOLUME;1;LITER;L;1;0
VOLUME;0;US_GALLON;USG;0,26417205;0
VOLUME;0;IMPERIAL_GALLON;IPG;0,21996924;0
TIME;1;SECOND;S;1;0
TIME;0;HOUR;HR;0,00027778;0
TIME;0;MINUTE;MIN;0,01666667;0
ANGLE;1;RADIAN;RAD;1;0
ANGLE;0;DEG_ANGULAIRE;DEG;6,28318531;0
PRESSURE;1;HECTOPASCALS;HPA;1;0
PRESSURE;0;INCHES_OF_MERCURY;INHG;33,86;0
PRESSURE;0;POUNDS_PER_SQUARE_INCH;PSI;68,94649752;0
PRESSURE;0;BAR;BAR;1000;0
PRESSURE;0;MILLIBAR;MBAR;0,001;0
END_TABLE_1;;;;;
